transcript_id,LNCaP_DHT_RNA_rep1,LNCaP_DHT_RNA_rep2,LNCaP_Veh_RNA_rep1,LNCaP_Veh_RNA_rep2
NM_018212,23814,33641,35016,35200
NM_018211,6079,6001,5185,5601
NM_018210,332,361,343,291
NR_110418,0,0,0,0
NM_018219,617,493,515,557
NM_018218,30260,29506,28633,28890
NM_152357,4880,4614,4932,5022
NR_132749,195,5,172,206
NM_152356,1348,1243,1422,1311
NM_001267045,238,236,184,358
NM_152355,7149,7065,6994,7175
NR_023378_9,0,0,0,0
NM_001221,960,1332,1032,1177
NM_001039481,12,12,26,8
NR_110413,23,15,34,28
NM_001281971_6,0,0,0,0
NR_109798,248,125,174,299
NM_032667,2753,2318,2996,2643
NM_001291951,0,2,0,0
NM_001291950,0,0,0,0
NM_001291953,7,5,423,461
NM_001291952,2,0,3,0
NM_032569,10349,10860,21697,10398
NM_001291954,0,196,0,0
NM_001256347,0,0,0,0
NM_001256346,0,0,0,0
NM_032565,1859,1805,1211,1290
NM_001261386,19,56,61,46
NM_001261385,7,25,10,26
NM_001261384,129,238,262,146
NM_001261383,1054,1003,775,1190
NM_001261382,3389,3409,3272,3245
NR_110954,17,39,30,18
NM_001261380,0,0,0,0
NM_001271643,15,72,19,21
NM_001271641,6265,9207,7877,6402
NM_001271640,566,529,510,544
NM_001271644,9,83,3,4
NM_001271649,280,230,279,177
NM_138272_2,0,11,1,0
NM_138272_5,0,11,2,0
NM_138272_4,0,0,2,0
NM_138272_7,0,10,2,0
NM_138272_6,0,11,0,0
NM_003416,3752,2077,1855,1479
NM_033382,331,240,311,240
NM_001134335,32727,44858,33693,34005
NM_033380,12,24,17,15
NM_033386,3236,2963,2771,2799
NM_001128848,429,1269,161,195
NM_012351,0,0,0,0
NM_033388,438,419,337,354
NM_033389,1329,1167,2787,8145
NM_001300884,1322,526,1818,1195
NR_030533_2,0,0,1,0
NR_028350,304,293,279,277
NM_001167602_2,0,0,5,4
NR_028351,0,0,0,0
NM_032389,2590,2423,6280,2827
NM_005001,2371,2357,2134,2040
NM_001195101,3528,211,203,150
NM_001195100,303,107,152,64
NM_005004,5859,5959,5359,5706
NM_001195106,0,1,0,0
NM_005006,26024,27588,22432,31693
NM_005007,56,54,66,70
NR_002439,91,95,88,81
NM_005009,0,0,0,82
NM_032383,5924,5263,5501,6075
NM_032382,7323,7449,6928,7095
NM_032385,414,450,319,312
NM_213611,10072,9679,11054,10131
NM_032387,53,92,75,116
NM_213613,1151,1065,910,933
