gene_id,LNCaP_DHT_RNA_rep1_batch,LNCaP_DHT_RNA_rep2_batch,LNCaP_Veh_RNA_rep1_batch,LNCaP_Veh_RNA_rep2_batch
MIR4722|MIR4722,0.538777,0.672354,0.397455,0.451203
RGPD4|RGPD4,1.752957,1.823616,1.665468,1.689178
LOC283045|LOC283045,0.0,0.01328,0.023747,0.0
TMEM180|TMEM180,0.561492,0.574994,0.454016,0.483037
MIR892C|MIR892C,0.0,0.0,0.0,0.0
COG8|COG8,17.448193,18.427727,16.676378,17.01359
NBAS|NBAS,12.735665000000001,12.861831,11.731483,12.000063
NEURL3|NEURL3,0.040394,0.027193,0.029563,0.045021
SON|SON,45.595758,46.42921299999999,43.3576,44.521858
ABCC4|ABCC4,62.778194,64.347523,42.453575,42.556159
PLA2G4E|PLA2G4E,0.034079,0.032301,0.026451,0.023562
LOC101927043|LOC101927043,0.156674,0.176371,0.137476,0.123722
KRTAP6-2|KRTAP6-2,0.0,0.0,0.0,0.0
POM121L2|POM121L2,0.001868,0.0,0.0,0.0
GPR6|GPR6,0.0,0.0,0.0,0.0
ZNF253|ZNF253,23.114517,23.600927,23.888195,24.088409
BTBD16|BTBD16,0.0,0.066487,0.084588,0.10139
SPRED1|SPRED1,2.721829,2.665652,2.077321,2.374805
LOC113230|LOC113230,0.40823400000000004,0.427375,0.36518300000000004,0.405864
PRR34-AS1|PRR34-AS1,4.217416,4.463116,3.566159,3.746828
LCNL1|LCNL1,0.0,0.0,0.0,0.0
ATP6V1C1|ATP6V1C1,13.386373,13.813603,11.345689,11.638846
OR4K17|OR4K17,0.0,0.0,0.0,0.0
LOC101926975|LOC101926975,0.0,0.0,0.0,0.0
LINC01600|LINC01600,0.024519,0.0,0.00921,0.0
LOC101927849|LOC101927849,0.0,0.0,0.0,0.0
LOC284788|LOC284788,0.0,0.0,0.0,0.0
GOLGA6L1|GOLGA6L1,0.007531,0.005018,0.003743,0.004485
PPARGC1B|PPARGC1B,0.9599230000000001,1.014123,0.7818879999999999,0.87129
ERICH6B|ERICH6B,0.0,0.0,0.0,0.004806
ABCA4|ABCA4,0.081006,0.070185,0.087543,0.095249
MIR2115|MIR2115,0.0,0.0,0.0,0.0
DMTF1|DMTF1,16.485951,16.956388,15.645053999999998,16.078697
PRDX6|PRDX6,117.960678,120.545349,114.479141,117.056557
SNORA107|SNORA107,0.0,0.0,0.0,0.0
TENM4|TENM4,0.024744,0.015506,0.021457,0.016012
HNRNPR|HNRNPR,29.062253000000002,29.35024,28.282428,28.701715999999998
SLC22A2|SLC22A2,0.020553,0.0,0.013908,0.02042
ZNF311|ZNF311,0.0,0.018639,0.0,0.0
URB1-AS1|URB1-AS1,17.838964,18.752554,15.761754,15.945525
DDX18|DDX18,26.82909,27.67321,28.082369,29.104012
SCRN2|SCRN2,3.505537,3.8623770000000004,3.55362,3.629842
ELK1|ELK1,4.507416,4.474925,3.820469,3.817798
CAMK1D|CAMK1D,1.804127,2.125089,1.973405,3.246423
PKD1L1|PKD1L1,0.028889,0.026645,0.016384,0.0
ADD2|ADD2,0.247057,0.29984900000000003,0.27236899999999997,0.28732
MCM3AP-AS1|MCM3AP-AS1,6.721165,6.926201000000001,6.297765999999999,7.2195990000000005
PTOV1-AS1|PTOV1-AS1,2.660039,2.867683,2.380066,2.331856
ADCY4|ADCY4,0.0,0.009423,0.0,0.0
SLC26A11|SLC26A11,2.9607659999999996,2.8998839999999997,2.533032,2.665396
OR5B17|OR5B17,0.0,0.0,0.0,0.0
DLGAP1-AS3|DLGAP1-AS3,0.0,0.0,0.0,0.0
MIR545|MIR545,0.207784,0.18217,0.140609,0.165785
RALY-AS1|RALY-AS1,1.674164,1.554781,1.625129,1.592533
CD3G|CD3G,0.0,0.0,0.0,0.0
LOC101928231|LOC101928231,0.0,0.029298,0.0,0.0
CADPS|CADPS,0.0,0.0,0.0,0.0
MPP3|MPP3,2.412973,2.1714949999999997,2.206778,2.172794
LINC01337|LINC01337,0.0,0.0,0.0,0.0
NOLC1|NOLC1,65.756212,67.11254,60.063948,62.905423
ANKRD53|ANKRD53,0.025973,0.025875,0.021823,0.017026
LOC286437|LOC286437,1.148871,1.210071,1.126213,1.029699
MASTL|MASTL,6.000033999999999,5.9450400000000005,5.580591999999999,5.510146
RPS27|RPS27,797.003113,798.169739,721.949646,750.194763
KRT222|KRT222,0.020407,0.038492,0.032713,0.0
ROPN1L|ROPN1L,0.46796099999999996,0.371485,0.403428,0.38382
C6orf201|C6orf201,0.6695909999999999,0.6513410000000001,0.32032499999999997,0.36255400000000004
MICALL2|MICALL2,1.617465,1.659612,1.348364,1.478684
OR2AP1|OR2AP1,0.0,0.0,0.0,0.0
BATF2|BATF2,0.090685,0.136727,0.106207,0.125807
OR10X1|OR10X1,0.0,0.0,0.0,0.0
BPIFA1|BPIFA1,0.0,0.0,0.0,0.0
